id,towns,bezirk,status
1,Zürich,Zürich,1
1,Uster,Uster,1
1,Pfäffikon,Pfäffikon,1
1,Hinwil,Hinwil,1
2,Zürich,Zürich,1
2,Dietikon,Dietikon,1
3,Zürich,Zürich,1
3,Affoltern,Affoltern,1
3,Horgen,Horgen,1
3,Meilen,Meilen,1
4,Zürich,Zürich,1
4,Dielsdorf,Dielsdorf,1
4,Bülach,Bülach,1
4,Andelfingen,Andelfingen,1
4,Winterthur,Winterthur,1
5,Walchwil,Zug,1
5,Unterägeri,Zug,1
5,Oberägeri,Zug,1
5,Menzingen,Zug,1
5,Neuheim,Zug,1
5,Baar,Zug,1
5,Zug,Zug,1
5,Steinhausen,Zug,1
5,Cham,Zug,1
5,Rotkreuz,Zug,1
6,Baden,Baden,1
6,Brugg,Brugg,1
6,Zurzach,Zurzach,1
6,Laufenburg,Laufenburg,1
6,Rheinfelden,Rheinfelden,1
7,Scuol,Engiadina Bassa/Val Müstair,1
7,Klosters,Prättigau/Davos,1
8,Davos,Prättigau/Davos,1
8,Tiefencastel,Albula,1
8,Thusis,Hinterrhein,1
8,Domat/Ems,Imboden,1
8,Chur,Plessur,1
8,Landquart,Landquart,1
9,Celerina,Viamala,1
9,Samedan,Viamala,1
9,Poschiavo,Bernina,1
10,Reichenau-Tamins,Imboden,1
10,Ilanz,Surselva,1